titulo,valor,data_pagamento,percentual,data_coleta,tipo_evento
01/12/2006,6856.58,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/12/2005,2165850.5,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2005,98026.85,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/12/2006,7914.04,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/12/2006,6444.92,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2006,565232.88,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2007,658392.6,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/12/2006,5924.74,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2008,1709354.26,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2008,1370368.08,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2008,494480.47,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,280108.18,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2009,1708395.03,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2010,2171525.26,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2011,1459306.52,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/03/2011,931563.84,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2011,3960631.46,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2010,1895140.27,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2010,5206908.82,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2012,1866928.75,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5969204.97,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,5114256.22,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,6654534.71,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2013,695572.17,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5886701.32,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2015,21195723.65,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,2157306.19,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,14570330.43,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4464122.61,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,6455551.73,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,618382.19,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,624652.62,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1819248.36,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2014,5888094.18,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,13469409.34,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2017,16478171.83,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2013,708325.74,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,5295658.33,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2015,21740574.75,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,6035824.34,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2013,722468.59,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,5476651.48,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2014,6169697.32,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2012,9573043.02,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4534511.53,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,610204.47,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,9726594.46,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5416183.24,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4864093.53,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,7552178.52,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2015,20295505.67,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1845910.97,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,620408.0,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2014,5119912.19,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,623366.48,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,10454071.31,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2017,14210331.59,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,14104927.9,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4162743.35,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,3864348.39,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,16690892.39,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1824793.08,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,620522.7,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2014,5497132.85,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,11625993.77,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2017,15190673.93,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,10159372.26,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,27369437.51,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2017,13346282.67,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,9635100.3,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,4457775.24,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,632956.55,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,15197324.14,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1838071.64,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,631048.44,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4083424.29,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,8039636.02,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,642497.01,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4820313.19,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2015,20138810.25,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,10505601.55,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5409067.68,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,6040142.4,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4057332.3,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,22010795.89,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5349079.82,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4839848.0,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,16834562.87,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2015,20157772.16,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,31842311.99,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,9406208.42,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4070435.84,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,644467.61,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,13975452.67,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,603263.6,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2017,12554624.6,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1832508.97,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,8921702.34,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,7043691.05,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5267186.41,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4734276.37,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,12588358.67,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2015,19748948.15,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,665362.79,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4902060.59,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,23327125.96,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5344430.14,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,9671350.62,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4137425.95,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,8306666.9,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,12762186.58,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,51738923.32,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,615696.76,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1905695.46,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,13073878.04,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2017,11852223.76,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,30904112.56,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4842818.34,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2017,5318773.43,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,702269.97,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,11663422.34,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,7552029.85,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,18539470.61,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2017,10887692.55,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,625316.91,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,2001490.42,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
