data,valor
2026-02-17,15.0
2026-02-18,15.0
2026-02-19,15.0
2026-02-20,15.0
2026-02-21,15.0
2026-02-22,15.0
2026-02-23,15.0
2026-02-24,15.0
2026-02-25,15.0
2026-02-26,15.0
2026-02-27,15.0
2026-02-28,15.0
2026-03-01,15.0
2026-03-02,15.0
2026-03-03,15.0
2026-03-04,15.0
2026-03-05,15.0
2026-03-06,15.0
2026-03-07,15.0
2026-03-08,15.0
2026-03-09,15.0
2026-03-10,15.0
2026-03-11,15.0
2026-03-12,15.0
2026-03-13,15.0
2026-03-14,15.0
2026-03-15,15.0
2026-03-16,15.0
2026-03-17,15.0
2026-03-18,15.0
2026-03-19,14.75
